product_id,category,brand,product_name,ingredients,product_rating,ingredients_clean_list,ingredients_clean_str
M40,미스트/오일,바이오힐보,판테셀 리페어시카 앰플미스트,"정제수, 네오펜틸글라이콜다이헵타노에이트, 1,2-헥산다이올, 펜틸렌글라이콜, 소듐클로라이드, 판테놀(1%), 병풀추출물, 베타-시토스테롤, 마데카소사이드, 아시아티코사이드, 병풀잎추출물, 아세틸헥사펩타이드-8, 아스코빅애씨드폴리펩타이드, 아세틸옥타펩타이드-3, 아세틸테트라펩타이드-2, 아세틸테트라펩타이드-3, 아세틸테트라펩타이드-5, 아세틸테트라펩타이드-9, 카르노신, 카퍼트라이펩타이드-1, 노나펩타이드-1, 팔미토일펜타펩타이드-4, 팔미토일트라이펩타이드-1, 팔미토일트라이펩타이드-5, 스트렙토코쿠스 테르모필루스발효물, 클로렐라 불가리스추출물, 사과즙, 인도멀구슬나무잎추출물, 인도멀구슬나무꽃추출물, 아이비고드열매추출물, 호박가루, 가지열매추출물, 울금뿌리추출물, 홀리바질잎추출물, 참산호말추출물, 드럼스틱씨오일, 칸디다 봄비콜라/글루코오스/메틸레이프씨데이트발효물, 잇꽃씨오일, 로즈힙열매오일, 스쿠알란, 해바라기씨오일, 소듐피씨에이, 솔비톨, 부틸렌글라이콜, 글루코오스, 글리세린, 프룩토올리고사카라이드, 프룩토오스, 베타인, 시트릭애씨드, 다이포타슘글리시리제이트, 소듐시트레이트, 베타-글루칸, 에틸헥실글리세린, 레시틴, 에스신, 다이프로필렌글라이콜",4.6,"['정제수', '네오펜틸글라이콜다이헵타노에이트', '1,2-헥산다이올', '펜틸렌글라이콜', '소듐클로라이드', '판테놀', '병풀추출물', '베타-시토스테롤', '마데카소사이드', '아시아티코사이드', '병풀잎추출물', '아세틸헥사펩타이드-8', '아스코빅애씨드폴리펩타이드', '아세틸옥타펩타이드-3', '아세틸테트라펩타이드-2', '아세틸테트라펩타이드-3', '아세틸테트라펩타이드-5', '아세틸테트라펩타이드-9', '카르노신', '카퍼트라이펩타이드-1', '노나펩타이드-1', '팔미토일펜타펩타이드-4', '팔미토일트라이펩타이드-1', '팔미토일트라이펩타이드-5', '스트렙토코쿠스 테르모필루스발효물', '클로렐라 불가리스추출물', '사과즙', '인도멀구슬나무잎추출물', '인도멀구슬나무꽃추출물', '아이비고드열매추출물', '호박가루', '가지열매추출물', '울금뿌리추출물', '홀리바질잎추출물', '참산호말추출물', '드럼스틱씨오일', '칸디다 봄비콜라/글루코오스/메틸레이프씨데이트발효물', '잇꽃씨오일', '로즈힙열매오일', '스쿠알란', '해바라기씨오일', '소듐피씨에이', '솔비톨', '부틸렌글라이콜', '글루코오스', '글리세린', '프룩토올리고사카라이드', '프룩토오스', '베타인', '시트릭애씨드', '다이포타슘글리시리제이트', '소듐시트레이트', '베타-글루칸', '글리세린', '레시틴', '에스신', '다이프로필렌글라이콜']","정제수|네오펜틸글라이콜다이헵타노에이트|1,2-헥산다이올|펜틸렌글라이콜|소듐클로라이드|판테놀|병풀추출물|베타-시토스테롤|마데카소사이드|아시아티코사이드|병풀잎추출물|아세틸헥사펩타이드-8|아스코빅애씨드폴리펩타이드|아세틸옥타펩타이드-3|아세틸테트라펩타이드-2|아세틸테트라펩타이드-3|아세틸테트라펩타이드-5|아세틸테트라펩타이드-9|카르노신|카퍼트라이펩타이드-1|노나펩타이드-1|팔미토일펜타펩타이드-4|팔미토일트라이펩타이드-1|팔미토일트라이펩타이드-5|스트렙토코쿠스 테르모필루스발효물|클로렐라 불가리스추출물|사과즙|인도멀구슬나무잎추출물|인도멀구슬나무꽃추출물|아이비고드열매추출물|호박가루|가지열매추출물|울금뿌리추출물|홀리바질잎추출물|참산호말추출물|드럼스틱씨오일|칸디다 봄비콜라/글루코오스/메틸레이프씨데이트발효물|잇꽃씨오일|로즈힙열매오일|스쿠알란|해바라기씨오일|소듐피씨에이|솔비톨|부틸렌글라이콜|글루코오스|글리세린|프룩토올리고사카라이드|프룩토오스|베타인|시트릭애씨드|다이포타슘글리시리제이트|소듐시트레이트|베타-글루칸|글리세린|레시틴|에스신|다이프로필렌글라이콜"
M29,미스트/오일,눅스,윌 프로디쥬스 멀티 드라이 오일,"코코-카프릴레이트/카프레이트, 퀸즈랜드넛오일, 다이카프릴릴에터, 카프릴릭/카프릭트라이글리세라이드, 스위트아몬드오일, 유럽개암씨오일, 유차나무씨오일, 동백나무씨오일, 아르간커넬오일, 보리지씨오일, 토코페롤, 해바라기씨오일, 토코페릴아세테이트, 로즈마리잎추출물, 폴리글리세릴-3다이아이소스테아레이트, 정제수, 아스코빅애씨드, 토마토추출물, 향료, 리날룰, 리모넨, 시트로넬올, 제라니올",4.8,"['코코-카프릴레이트/카프레이트', '퀸즈랜드넛오일', '다이카프릴릴에터', '카프릴릭/카프릭트라이글리세라이드', '스위트아몬드오일', '유럽개암씨오일', '유차나무씨오일', '동백나무씨오일', '아르간커넬오일', '보리지씨오일', '토코페롤', '해바라기씨오일', '토코페릴아세테이트', '로즈마리잎추출물', '폴리글리세릴-3다이아이소스테아레이트', '정제수', '아스코빅애씨드', '토마토추출물', '향료', '리날룰', '리모넨', '시트로넬올', '제라니올']",코코-카프릴레이트/카프레이트|퀸즈랜드넛오일|다이카프릴릴에터|카프릴릭/카프릭트라이글리세라이드|스위트아몬드오일|유럽개암씨오일|유차나무씨오일|동백나무씨오일|아르간커넬오일|보리지씨오일|토코페롤|해바라기씨오일|토코페릴아세테이트|로즈마리잎추출물|폴리글리세릴-3다이아이소스테아레이트|정제수|아스코빅애씨드|토마토추출물|향료|리날룰|리모넨|시트로넬올|제라니올
M30,미스트/오일,로벡틴,인텐스 글로우 오일,"카프릴릭/카프릭트라이글리세라이드, 해바라기씨오일, 동백나무씨오일, 스쿠알란, 올리브오일, 알파-비사보롤, 아틀라스시다나무껍질오일, 불가리스쑥오일, 토코페롤캐모마일꽃오일, 갈바눔수지오일, 비타민나무오일, 비터오렌지꽃오일",4.7,"['카프릴릭/카프릭트라이글리세라이드', '해바라기씨오일', '동백나무씨오일', '스쿠알란', '올리브오일', '알파-비사보롤', '아틀라스시다나무껍질오일', '불가리스쑥오일', '토코페롤캐모마일꽃오일', '갈바눔수지오일', '비타민나무오일', '비터오렌지꽃오일']",카프릴릭/카프릭트라이글리세라이드|해바라기씨오일|동백나무씨오일|스쿠알란|올리브오일|알파-비사보롤|아틀라스시다나무껍질오일|불가리스쑥오일|토코페롤캐모마일꽃오일|갈바눔수지오일|비타민나무오일|비터오렌지꽃오일
M36,미스트/오일,라로슈포제,세로징크 세범 컨트롤 토닝 미스트,"정제수, 소듐클로라이드, 징크설페이트",4.7,"['정제수', '소듐클로라이드', '징크설페이트']",정제수|소듐클로라이드|징크설페이트
M37,미스트/오일,눅스,윌 프로디쥬스 멀티 플로럴 오일,"코코-카프릴레이트/카프레이트, 퀸즈랜드넛오일, 다이카프릴릴에터, 카프릴릭/카프릭트라이글리세라이드, 스위트아몬드오일, 유럽개암씨오일, 유차나무씨오일, 동백나무씨오일, 아르간커넬오일, 보리지씨오일, 토코페롤, 해바라기씨오일, 토코페릴아세테이트, 로즈마리잎추출물, 폴리글리세릴-3다이아이소스테아레이트, 정제수, 아스코빅애씨드, 향료, 리모넨, 리날룰, 시트랄, 시트로넬올, 하이드록시시트로넬알, 제라니올",4.8,"['코코-카프릴레이트/카프레이트', '퀸즈랜드넛오일', '다이카프릴릴에터', '카프릴릭/카프릭트라이글리세라이드', '스위트아몬드오일', '유럽개암씨오일', '유차나무씨오일', '동백나무씨오일', '아르간커넬오일', '보리지씨오일', '토코페롤', '해바라기씨오일', '토코페릴아세테이트', '로즈마리잎추출물', '폴리글리세릴-3다이아이소스테아레이트', '정제수', '아스코빅애씨드', '향료', '리모넨', '리날룰', '시트랄', '시트로넬올', '하이드록시시트로넬알', '제라니올']",코코-카프릴레이트/카프레이트|퀸즈랜드넛오일|다이카프릴릴에터|카프릴릭/카프릭트라이글리세라이드|스위트아몬드오일|유럽개암씨오일|유차나무씨오일|동백나무씨오일|아르간커넬오일|보리지씨오일|토코페롤|해바라기씨오일|토코페릴아세테이트|로즈마리잎추출물|폴리글리세릴-3다이아이소스테아레이트|정제수|아스코빅애씨드|향료|리모넨|리날룰|시트랄|시트로넬올|하이드록시시트로넬알|제라니올
M38,미스트/오일,트릴로지,써티파이드 오가닉 100% 로즈힙 오일,로즈힙씨오일,4.7,['로즈힙씨오일'],로즈힙씨오일
M28,미스트/오일,유리아쥬,리페어링 떼르말 워터,온천수,4.8,['온천수'],온천수
M42,미스트/오일,쌍빠,어딕트 글로우 매직에센스,"비타민나무수, 다이프로필렌글라이콜, 글리세린, 부틸렌글라이콜, 1,2-헥산다이올, 나이아신아마이드, 카프릴릭/카프릭트라이글리세라이드, 아이소헥사데칸, 메틸프로판다이올, 사이클로펜타실록세인, 펜틸렌글라이콜, 참마뿌리추출물, 비타민나무열매추출물, 진주추출물, 로얄젤리추출물, 프로폴리스추출물, 다마스크장미꽃추출물, 당아욱잎추출물, 레몬밤잎추출물, 레몬버베나잎추출물, 로즈마리잎추출물, 마시멜로잎추출물, 마조람잎추출물, 바오밥나무씨추출물, 보리지추출물, 살비아잎추출물, 센티드제라늄추출물, 오레가노잎추출물, 월계수잎추출물, 유칼립투스잎추출물, 인카르나타시계꽃전초추출물, 자주천인국추출물, 캐모마일꽃추출물, 콘민트잎추출물, 포트마리골드꽃추출물, 회향잎추출물, 서양산딸기잎추출물, 녹차수, 오일팜오일, 비타민나무오일, 호호바씨오일, 소듐클로라이드, 해바라기씨오일불검화물, 카프릴릴/카프릴글루코사이드, 폴리쿼터늄-51, 글라이코실트레할로오스, 아데노신, 하이드로제네이티드스타치하이드롤리세이트, 다이소듐이디티에이, 라피노오스, 바이오사카라이드검-1, 레시틴, 말토덱스트린, 향료, 에틸헥실글리세린, 시트로넬올, 제라니올, 리날룰",4.6,"['비타민나무수', '다이프로필렌글라이콜', '글리세린', '부틸렌글라이콜', '1,2-헥산다이올', '나이아신아마이드', '카프릴릭/카프릭트라이글리세라이드', '아이소헥사데칸', '메틸프로판다이올', '사이클로펜타실록세인', '펜틸렌글라이콜', '참마뿌리추출물', '비타민나무열매추출물', '진주추출물', '로얄젤리추출물', '프로폴리스추출물', '다마스크장미꽃추출물', '당아욱잎추출물', '레몬밤잎추출물', '레몬버베나잎추출물', '로즈마리잎추출물', '마시멜로잎추출물', '마조람잎추출물', '바오밥나무씨추출물', '보리지추출물', '살비아잎추출물', '센티드제라늄추출물', '오레가노잎추출물', '월계수잎추출물', '유칼립투스잎추출물', '인카르나타시계꽃전초추출물', '자주천인국추출물', '캐모마일꽃추출물', '콘민트잎추출물', '포트마리골드꽃추출물', '회향잎추출물', '서양산딸기잎추출물', '녹차수', '오일팜오일', '비타민나무오일', '호호바씨오일', '소듐클로라이드', '해바라기씨오일불검화물', '카프릴릴/카프릴글루코사이드', '폴리쿼터늄-51', '글라이코실트레할로오스', '아데노신', '하이드로제네이티드스타치하이드롤리세이트', '다이소듐이디티에이', '라피노오스', '바이오사카라이드검-1', '레시틴', '말토덱스트린', '향료', '글리세린', '시트로넬올', '제라니올', '리날룰']","비타민나무수|다이프로필렌글라이콜|글리세린|부틸렌글라이콜|1,2-헥산다이올|나이아신아마이드|카프릴릭/카프릭트라이글리세라이드|아이소헥사데칸|메틸프로판다이올|사이클로펜타실록세인|펜틸렌글라이콜|참마뿌리추출물|비타민나무열매추출물|진주추출물|로얄젤리추출물|프로폴리스추출물|다마스크장미꽃추출물|당아욱잎추출물|레몬밤잎추출물|레몬버베나잎추출물|로즈마리잎추출물|마시멜로잎추출물|마조람잎추출물|바오밥나무씨추출물|보리지추출물|살비아잎추출물|센티드제라늄추출물|오레가노잎추출물|월계수잎추출물|유칼립투스잎추출물|인카르나타시계꽃전초추출물|자주천인국추출물|캐모마일꽃추출물|콘민트잎추출물|포트마리골드꽃추출물|회향잎추출물|서양산딸기잎추출물|녹차수|오일팜오일|비타민나무오일|호호바씨오일|소듐클로라이드|해바라기씨오일불검화물|카프릴릴/카프릴글루코사이드|폴리쿼터늄-51|글라이코실트레할로오스|아데노신|하이드로제네이티드스타치하이드롤리세이트|다이소듐이디티에이|라피노오스|바이오사카라이드검-1|레시틴|말토덱스트린|향료|글리세린|시트로넬올|제라니올|리날룰"
M52,미스트/오일,연작,스킨 퍼펙팅 글로우 업 프렙 워터,"정제수, 글리세레스-26, 트레할로오스, 나이아신아마이드, 글리세린, 폴리에스터-5, 부틸렌글라이콜, 이노시톨, 1,2-헥산다이올, 하이드록시아세토페논, 프로판다이올, 피피지-13-데실테트라데세스-24, 에틸헥실글리세린, 락토바실러스/홍삼발효여과물, 락토바실러스/쌀발효물, 락토바실러스/콩발효추출물, 자주개자리씨추출물, 효모/율무씨발효여과물, 효모/감자추출물발효여과물, 황차추출물, 트라이소듐에틸렌다이아민다이석시네이트, 말라카이트추출물, 사이아노코발아민, 알지닌, 황차카테킨, 토코페롤, 향료, 리모넨, 시트로넬올, 제라니올",4.6,"['정제수', '글리세레스-26', '트레할로오스', '나이아신아마이드', '글리세린', '폴리에스터-5', '부틸렌글라이콜', '이노시톨', '1,2-헥산다이올', '하이드록시아세토페논', '프로판다이올', '피피지-13-데실테트라데세스-24', '글리세린', '락토바실러스/홍삼발효여과물', '락토바실러스/쌀발효물', '락토바실러스/콩발효추출물', '자주개자리씨추출물', '효모/율무씨발효여과물', '효모/감자추출물발효여과물', '황차추출물', '트라이소듐에틸렌다이아민다이석시네이트', '말라카이트추출물', '사이아노코발아민', '알지닌', '황차카테킨', '토코페롤', '향료', '리모넨', '시트로넬올', '제라니올']","정제수|글리세레스-26|트레할로오스|나이아신아마이드|글리세린|폴리에스터-5|부틸렌글라이콜|이노시톨|1,2-헥산다이올|하이드록시아세토페논|프로판다이올|피피지-13-데실테트라데세스-24|글리세린|락토바실러스/홍삼발효여과물|락토바실러스/쌀발효물|락토바실러스/콩발효추출물|자주개자리씨추출물|효모/율무씨발효여과물|효모/감자추출물발효여과물|황차추출물|트라이소듐에틸렌다이아민다이석시네이트|말라카이트추출물|사이아노코발아민|알지닌|황차카테킨|토코페롤|향료|리모넨|시트로넬올|제라니올"
M45,미스트/오일,쌍빠,어딕트 포어리스 매직 에센스,"다마스크장미꽃추출물, 디프로필렌글라이콜, 카프릴릭/카프릭트리글리세라이드, 이소헥사데칸, 메칠프로판디올, 사이클로펜타실록산, 느릅나무뿌리추출물, 줄맨드라미씨추출물, 병풀추출물, 무화과추출물, 라벤더꽃추출물, 라벤더꽃/잎/줄기추출물, 로즈마리추출물, 한련초추출물, 카렌둘라꽃추출물, 명일엽잎/줄기추출물, 들깨잎추출물, 서양민들레뿌리줄기/뿌리추출물, 선백리향잎추출물, 어성초추출물, 꽃박하잎추출물, 레몬밤잎추출물, 레몬버베나잎추출물, 로즈마리잎추출물, 마시멜로잎추출물, 말로우잎추출물, 바오밥나무씨추출물, 박하잎추출물, 보리지추출물, 세이지잎추출물, 센티드제라늄추출물, 시계꽃추출물, 오레가노잎추출물, 월계수잎추출물, 유칼립투스잎추출물, 자주천인국추출물, 캐모마일꽃추출물, 회향잎추출물, 인도멀구슬나무잎추출물, 페퍼민트오일, 하이드로제네이티드레시틴, 소듐클로라이드, 부틸렌글라이콜, 글리세린, 카프릴릴/카프릴글루코사이드, 멘틸피씨에이, 에칠멘탄카복사마이드, 디소듐이디티에이, 드럼스틱씨오일, 세라마이드엔피, 향료, 페녹시에탄올, 1,2-헥산디올, 에칠헥실글리세린,시트로넬올, 제라니올",4.5,"['다마스크장미꽃추출물', '디프로필렌글라이콜', '카프릴릭/카프릭트리글리세라이드', '이소헥사데칸', '메칠프로판디올', '사이클로펜타실록산', '느릅나무뿌리추출물', '줄맨드라미씨추출물', '병풀추출물', '무화과추출물', '라벤더꽃추출물', '라벤더꽃/잎/줄기추출물', '로즈마리추출물', '한련초추출물', '카렌둘라꽃추출물', '명일엽잎/줄기추출물', '들깨잎추출물', '서양민들레뿌리줄기/뿌리추출물', '선백리향잎추출물', '어성초추출물', '꽃박하잎추출물', '레몬밤잎추출물', '레몬버베나잎추출물', '로즈마리잎추출물', '마시멜로잎추출물', '말로우잎추출물', '바오밥나무씨추출물', '박하잎추출물', '보리지추출물', '세이지잎추출물', '센티드제라늄추출물', '시계꽃추출물', '오레가노잎추출물', '월계수잎추출물', '유칼립투스잎추출물', '자주천인국추출물', '캐모마일꽃추출물', '회향잎추출물', '인도멀구슬나무잎추출물', '페퍼민트오일', '하이드로제네이티드레시틴', '소듐클로라이드', '부틸렌글라이콜', '글리세린', '카프릴릴/카프릴글루코사이드', '멘틸피씨에이', '에칠멘탄카복사마이드', '디소듐이디티에이', '드럼스틱씨오일', '세라마이드엔피', '향료', '페녹시에탄올', '1,2-헥산디올', '글리세린', '시트로넬올', '제라니올']","다마스크장미꽃추출물|디프로필렌글라이콜|카프릴릭/카프릭트리글리세라이드|이소헥사데칸|메칠프로판디올|사이클로펜타실록산|느릅나무뿌리추출물|줄맨드라미씨추출물|병풀추출물|무화과추출물|라벤더꽃추출물|라벤더꽃/잎/줄기추출물|로즈마리추출물|한련초추출물|카렌둘라꽃추출물|명일엽잎/줄기추출물|들깨잎추출물|서양민들레뿌리줄기/뿌리추출물|선백리향잎추출물|어성초추출물|꽃박하잎추출물|레몬밤잎추출물|레몬버베나잎추출물|로즈마리잎추출물|마시멜로잎추출물|말로우잎추출물|바오밥나무씨추출물|박하잎추출물|보리지추출물|세이지잎추출물|센티드제라늄추출물|시계꽃추출물|오레가노잎추출물|월계수잎추출물|유칼립투스잎추출물|자주천인국추출물|캐모마일꽃추출물|회향잎추출물|인도멀구슬나무잎추출물|페퍼민트오일|하이드로제네이티드레시틴|소듐클로라이드|부틸렌글라이콜|글리세린|카프릴릴/카프릴글루코사이드|멘틸피씨에이|에칠멘탄카복사마이드|디소듐이디티에이|드럼스틱씨오일|세라마이드엔피|향료|페녹시에탄올|1,2-헥산디올|글리세린|시트로넬올|제라니올"
M46,미스트/오일,유리아쥬,오떼르말,온천수,4.7,['온천수'],온천수
M49,미스트/오일,달바,오리지널 & 프리미엄 미스트 세럼,"정제수, 다이프로필렌글라이콜, 네오펜틸글라이콜다이헵타노에이트, 1,2-헥산다이올, 나이아신아마이드, 솔비톨, 하이드록시에틸우레아, 아보카도오일, 멕시칸치아씨추출물, 바질꽃/잎/줄기추출물, 베타인, 귀리커넬추출물, 부틸렌글라이콜, 흰서양송로추출물(0.174%), 글리세린, 해바라기씨오일, 토코페릴아세테이트, 다이소듐이디티에이, 다이포타슘글리시리제이트, 아데노신, 소듐팔미토일프롤린, 비피다발효용해물, 알바수련꽃추출물, 소듐하이알루로네이트, 에탄올, 돌콩오일, 스피드웰추출물, 황산앵초추출물, 페퍼민트잎추출물, 레몬밤잎추출물, 당아욱추출물, 레이디스맨틀추출물, 서양톱풀추출물, 사우수레아인볼루크라타추출물, 인삼추출물, 연꽃추출물, 뽕나무껍질추출물, 마돈나백합꽃추출물, 에델바이스추출물, 약모밀추출물, 프리지어추출물, 카보머, 데이지꽃추출물, 알지닌, 포타슘솔베이트, 아나토씨오일, 소듐하이드록사이드, 토코페롤, 향료, 부틸페닐메틸프로피오날, 리날룰, 헥실신남알, 리모넨",4.9,"['정제수', '다이프로필렌글라이콜', '네오펜틸글라이콜다이헵타노에이트', '1,2-헥산다이올', '나이아신아마이드', '솔비톨', '하이드록시에틸우레아', '아보카도오일', '멕시칸치아씨추출물', '바질꽃/잎/줄기추출물', '베타인', '귀리커넬추출물', '부틸렌글라이콜', '흰서양송로추출물', '글리세린', '해바라기씨오일', '토코페릴아세테이트', '다이소듐이디티에이', '다이포타슘글리시리제이트', '아데노신', '소듐팔미토일프롤린', '비피다발효용해물', '알바수련꽃추출물', '소듐하이알루로네이트', '에탄올', '돌콩오일', '스피드웰추출물', '황산앵초추출물', '페퍼민트잎추출물', '레몬밤잎추출물', '당아욱추출물', '레이디스맨틀추출물', '서양톱풀추출물', '사우수레아인볼루크라타추출물', '인삼추출물', '연꽃추출물', '뽕나무껍질추출물', '마돈나백합꽃추출물', '에델바이스추출물', '약모밀추출물', '프리지어추출물', '카보머', '데이지꽃추출물', '알지닌', '포타슘솔베이트', '아나토씨오일', '소듐하이드록사이드', '토코페롤', '향료', '부틸페닐메틸프로피오날', '리날룰', '헥실신남알', '리모넨']","정제수|다이프로필렌글라이콜|네오펜틸글라이콜다이헵타노에이트|1,2-헥산다이올|나이아신아마이드|솔비톨|하이드록시에틸우레아|아보카도오일|멕시칸치아씨추출물|바질꽃/잎/줄기추출물|베타인|귀리커넬추출물|부틸렌글라이콜|흰서양송로추출물|글리세린|해바라기씨오일|토코페릴아세테이트|다이소듐이디티에이|다이포타슘글리시리제이트|아데노신|소듐팔미토일프롤린|비피다발효용해물|알바수련꽃추출물|소듐하이알루로네이트|에탄올|돌콩오일|스피드웰추출물|황산앵초추출물|페퍼민트잎추출물|레몬밤잎추출물|당아욱추출물|레이디스맨틀추출물|서양톱풀추출물|사우수레아인볼루크라타추출물|인삼추출물|연꽃추출물|뽕나무껍질추출물|마돈나백합꽃추출물|에델바이스추출물|약모밀추출물|프리지어추출물|카보머|데이지꽃추출물|알지닌|포타슘솔베이트|아나토씨오일|소듐하이드록사이드|토코페롤|향료|부틸페닐메틸프로피오날|리날룰|헥실신남알|리모넨"
