ingredient,product_count,cat_에센스/세럼/앰플,ratio_에센스/세럼/앰플
정제수,247,247,1.0
글리세린,242,242,1.0
"1,2-헥산다이올",232,232,1.0
부틸렌글라이콜,223,223,1.0
나이아신아마이드,171,171,1.0
소듐하이알루로네이트,163,163,1.0
판테놀,147,147,1.0
하이드로제네이티드레시틴,138,138,1.0
프로판다이올,137,137,1.0
토코페롤,136,136,1.0
트로메타민,133,133,1.0
아데노신,132,132,1.0
잔탄검,132,132,1.0
다이소듐이디티에이,129,129,1.0
카보머,121,121,1.0
다이프로필렌글라이콜,114,114,1.0
펜틸렌글라이콜,111,111,1.0
알란토인,110,110,1.0
베타인,90,90,1.0
세라마이드엔피,82,82,1.0
카프릴릭/카프릭트라이글리세라이드,79,79,1.0
알지닌,78,78,1.0
베타-글루칸,76,76,1.0
시트릭애씨드,76,76,1.0
하이드롤라이즈드하이알루로닉애씨드,73,73,1.0
카프릴릴글라이콜,70,70,1.0
하이알루로닉애씨드,68,68,1.0
아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,67,67,1.0
메틸프로판다이올,62,62,1.0
병풀추출물,61,61,1.0
폴리글리세릴-10라우레이트,61,61,1.0
스쿠알란,57,57,1.0
덱스트린,56,56,1.0
소듐하이알루로네이트크로스폴리머,52,52,1.0
마데카소사이드,49,49,1.0
소듐시트레이트,48,48,1.0
트레할로오스,48,48,1.0
다이포타슘글리시리제이트,47,47,1.0
암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,47,47,1.0
아시아티코사이드,46,46,1.0
콜레스테롤,43,43,1.0
향료,43,43,1.0
아시아틱애씨드,40,40,1.0
인도멀구슬나무꽃추출물,40,40,1.0
인도멀구슬나무잎추출물,40,40,1.0
마데카식애씨드,40,40,1.0
하이드록시아세토페논,38,38,1.0
하이드록시프로필트라이모늄하이알루로네이트,38,38,1.0
소듐아세틸레이티드하이알루로네이트,38,38,1.0
소듐폴리아크릴레이트,34,34,1.0
소듐파이테이트,34,34,1.0
울금뿌리추출물,33,33,1.0
해바라기씨오일,33,33,1.0
글루타티온,33,33,1.0
참산호말추출물,33,33,1.0
글리세레스-26,32,32,1.0
리날룰,32,32,1.0
홀리바질잎추출물,31,31,1.0
세테아릴알코올,30,30,1.0
3-O-에틸아스코빅애씨드,30,30,1.0
프룩토올리고사카라이드,30,30,1.0
글루코오스,29,29,1.0
글리세릴아크릴레이트/아크릴릭애씨드코폴리머,29,29,1.0
스테아릭애씨드,29,29,1.0
폴리글리세릴-10올리에이트,29,29,1.0
하이드롤라이즈드소듐하이알루로네이트,29,29,1.0
리모넨,29,29,1.0
자일리톨,29,29,1.0
하이드록시에틸셀룰로오스,28,28,1.0
락토바실러스발효물,28,28,1.0
다이에톡시에틸석시네이트,27,27,1.0
아스코빅애씨드,26,26,1.0
소듐디엔에이,26,26,1.0
세린,25,25,1.0
폴리글리세릴-10스테아레이트,25,25,1.0
글루타믹애씨드,24,24,1.0
토코페릴아세테이트,24,24,1.0
포타슘하이알루로네이트,24,24,1.0
약모밀추출물,24,24,1.0
아세틸헥사펩타이드-8,23,23,1.0
하이드롤라이즈드콜라겐,23,23,1.0
스페인감초뿌리추출물,23,23,1.0
글리세릴스테아레이트,23,23,1.0
황금추출물,22,22,1.0
실리카,22,22,1.0
다이메티콘,22,22,1.0
글리세린-3,21,21,1.0
하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,21,21,1.0
글라이신,21,21,1.0
마카다미아씨오일,21,21,1.0
카카오추출물,21,21,1.0
메틸글루세스-20,21,21,1.0
시트로넬올,21,21,1.0
사이아노코발아민,21,21,1.0
글루코노락톤,21,21,1.0
카프릴릴/카프릴글루코사이드,21,21,1.0
소듐폴리아크릴로일다이메틸타우레이트,21,21,1.0
페룰릭애씨드,20,20,1.0
카페인,20,20,1.0
카퍼트라이펩타이드-1,20,20,1.0
락토바실러스발효용해물,20,20,1.0
폴리아크릴레이트크로스폴리머-6,20,20,1.0
제라니올,20,20,1.0
아이비고드열매추출물,20,20,1.0
변성알코올,19,19,1.0
레시틴,19,19,1.0
로즈마리잎오일,19,19,1.0
시어버터,19,19,1.0
병풀잎추출물,19,19,1.0
호호바씨오일,19,19,1.0
솔비탄아이소스테아레이트,18,18,1.0
글리세릴카프릴레이트,18,18,1.0
옥틸도데칸올,18,18,1.0
센티드제라늄꽃오일,18,18,1.0
피브이엠/엠에이코폴리머,18,18,1.0
팔미토일트라이펩타이드-1,18,18,1.0
만니톨,18,18,1.0
클로렐라 불가리스추출물,17,17,1.0
팔미토일테트라펩타이드-7,17,17,1.0
돌콩오일,17,17,1.0
프룩토오스,17,17,1.0
가지열매추출물,17,17,1.0
라벤더오일,17,17,1.0
녹차추출물,17,17,1.0
팔미틱애씨드,17,17,1.0
올리브오일,17,17,1.0
소듐아스코빌포스페이트,16,16,1.0
살리실릭애씨드,16,16,1.0
오렌지껍질오일,16,16,1.0
폴리글리세릴-3메틸글루코오스다이스테아레이트,16,16,1.0
소듐클로라이드,16,16,1.0
말토덱스트린,16,16,1.0
프롤린,16,16,1.0
폴리솔베이트20,16,16,1.0
하이드로제네이티드폴리아이소부텐,16,16,1.0
하이드롤라이즈드글라이코사미노글리칸,16,16,1.0
세틸에틸헥사노에이트,15,15,1.0
다이소듐포스페이트,15,15,1.0
징크피씨에이,15,15,1.0
폴리쿼터늄-51,15,15,1.0
알라닌,15,15,1.0
락틱애씨드,15,15,1.0
트라넥사믹애씨드,15,15,1.0
글리세릴폴리메타크릴레이트,15,15,1.0
히스티딘,15,15,1.0
세테아릴올리베이트,15,15,1.0
시트랄,15,15,1.0
아이소펜틸다이올,15,15,1.0
아이리쉬모스추출물,15,15,1.0
트라이에틸헥사노인,15,15,1.0
카카오씨추출물,14,14,1.0
바이오틴,14,14,1.0
글리세릴글루코사이드,14,14,1.0
비피다발효용해물,14,14,1.0
치자추출물,14,14,1.0
잇꽃꽃추출물,14,14,1.0
팔미토일펜타펩타이드-4,14,14,1.0
엑토인,14,14,1.0
트레오닌,14,14,1.0
폴리메틸실세스퀴옥세인,14,14,1.0
베르가모트오일,14,14,1.0
솔비탄올리베이트,14,14,1.0
아스파틱애씨드,14,14,1.0
팔미토일트라이펩타이드-5,14,14,1.0
소듐스테아로일글루타메이트,14,14,1.0
락토바실러스/콩발효추출물,14,14,1.0
알파-알부틴,13,13,1.0
셀룰로오스검,13,13,1.0
류신,13,13,1.0
자일리틸글루코사이드,13,13,1.0
페닐알라닌,13,13,1.0
라이신,13,13,1.0
메티오닌,13,13,1.0
폴리글루타믹애씨드,13,13,1.0
벤질글라이콜,13,13,1.0
피토스핑고신,13,13,1.0
솔비톨,13,13,1.0
아이소류신,13,13,1.0
발린,13,13,1.0
시스테인,12,12,1.0
타이로신,12,12,1.0
쇠비름추출물,12,12,1.0
모란뿌리추출물,12,12,1.0
데실글루코사이드,12,12,1.0
소듐락테이트,12,12,1.0
다마스크장미꽃수,12,12,1.0
하이드로제네이티드폴리데센,12,12,1.0
비닐다이메티콘,12,12,1.0
풀루란,12,12,1.0
아세틸글루코사민,12,12,1.0
메틸트라이메티콘,12,12,1.0
유채스테롤,12,12,1.0
하이드록시프로필사이클로덱스트린,12,12,1.0
바이오사카라이드검-1,12,12,1.0
"2,3-부탄다이올",12,12,1.0
피토스테롤,12,12,1.0
콜라겐,12,12,1.0
옥틸도데세스-16,12,12,1.0
무화과추출물,12,12,1.0
하이드롤라이즈드엘라스틴,11,11,1.0
글리세릴스테아레이트시트레이트,11,11,1.0
에탄올,11,11,1.0
안하이드로자일리톨,11,11,1.0
소듐하이드록사이드,11,11,1.0
흰버드나무껍질추출물,11,11,1.0
포트마리골드꽃추출물,11,11,1.0
라임전초오일,11,11,1.0
쑥잎추출물,11,11,1.0
다이페닐다이메티콘,11,11,1.0
멕시칸주니퍼오일,11,11,1.0
다시마추출물,11,11,1.0
수용성콜라겐,11,11,1.0
하이드록시에틸우레아,11,11,1.0
사탕수수추출물,11,11,1.0
알부틴,11,11,1.0
카프릴로일살리실릭애씨드,11,11,1.0
베헤닐알코올,11,11,1.0
프로필렌글라이콜,11,11,1.0
아스코빌글루코사이드,11,11,1.0
레티놀,10,10,1.0
트라이소듐이디티에이,10,10,1.0
비사보롤,10,10,1.0
참마뿌리추출물,10,10,1.0
포타슘솔베이트,10,10,1.0
다마스크장미꽃오일,10,10,1.0
프로폴리스추출물,10,10,1.0
솔비탄올리에이트,10,10,1.0
당근추출물,10,10,1.0
글라이코실트레할로오스,10,10,1.0
폴리솔베이트60,10,10,1.0
에스에이치-올리고펩타이드-1,9,9,1.0
폴리글리세릴-2다이폴리하이드록시스테아레이트,9,9,1.0
마트리카리아꽃추출물,9,9,1.0
지모뿌리추출물,9,9,1.0
한련초잎추출물,9,9,1.0
세라마이드에이피,9,9,1.0
류코노스톡/무발효여과물,9,9,1.0
트라이펩타이드-1,9,9,1.0
티트리잎추출물,9,9,1.0
소듐벤조에이트,9,9,1.0
젤란검,9,9,1.0
덱스트란,9,9,1.0
글라이코리피드,9,9,1.0
아이소노닐아이소노나노에이트,9,9,1.0
백미꽃추출물,9,9,1.0
에톡시다이글라이콜,9,9,1.0
소듐글루코네이트,9,9,1.0
C12-14알케스-12,9,9,1.0
아이소프로필미리스테이트,9,9,1.0
베타-카로틴,9,9,1.0
C12-13알케스-9,9,9,1.0
알로에베라꽃추출물,9,9,1.0
폴리아이소부텐,9,9,1.0
하이드로제네이티드스타치하이드롤리세이트,9,9,1.0
소듐아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,9,9,1.0
말라카이트추출물,9,9,1.0
아라키딜글루코사이드,9,9,1.0
수크로오스스테아레이트,9,9,1.0
판토테닉애씨드,8,8,1.0
다이메틸실란올하이알루로네이트,8,8,1.0
띠뿌리추출물,8,8,1.0
에리스리톨,8,8,1.0
황련뿌리추출물,8,8,1.0
에틸헥실팔미테이트,8,8,1.0
세라마이드이오피,8,8,1.0
로즈마리잎추출물,8,8,1.0
티트리잎오일,8,8,1.0
유칼립투스잎추출물,8,8,1.0
4-터피네올,8,8,1.0
C14-22알코올,8,8,1.0
사카라이드아이소머레이트,8,8,1.0
사과추출물,8,8,1.0
다이메틸아이소소바이드,8,8,1.0
비타민나무열매추출물,8,8,1.0
메도우폼씨오일,8,8,1.0
당느릅나무뿌리추출물,8,8,1.0
콜라겐추출물,8,8,1.0
헥사펩타이드-9,8,8,1.0
밤껍질추출물,8,8,1.0
스핑고모나스발효추출물,8,8,1.0
페닐트라이메티콘,8,8,1.0
소듐피씨에이,8,8,1.0
올레익애씨드,8,8,1.0
포타슘포스페이트,8,8,1.0
글라이콜릭애씨드,8,8,1.0
꿀추출물,7,7,1.0
에스에이치-폴리펩타이드-1,7,7,1.0
소듐포스페이트,7,7,1.0
피이지-40하이드로제네이티드캐스터오일,7,7,1.0
마그네슘클로라이드,7,7,1.0
아세틸테트라펩타이드-11,7,7,1.0
비에이치티,7,7,1.0
티옥틱애씨드,7,7,1.0
세라마이드엔에스,7,7,1.0
타임잎추출물,7,7,1.0
석시닉애씨드,7,7,1.0
페녹시에탄올,7,7,1.0
바쿠치올,7,7,1.0
호장근뿌리추출물,7,7,1.0
암모늄폴리아크릴로일다이메틸타우레이트,7,7,1.0
포타슘하이드록사이드,7,7,1.0
수크로오스,7,7,1.0
귀리커넬추출물,7,7,1.0
폴리글리세릴-6라우레이트,7,7,1.0
피이지-30다이폴리하이드록시스테아레이트,7,7,1.0
아가,7,7,1.0
수크로오스팔미테이트,7,7,1.0
효모발효여과물,7,7,1.0
레스베라트롤,7,7,1.0
드럼스틱씨오일,7,7,1.0
소듐메타포스페이트,7,7,1.0
피피지-13-데실테트라데세스-24,7,7,1.0
테트라데실아미노부티로일발릴아미노부티릭우레아트라이플루오로아세테이트,7,7,1.0
펜타에리스리틸테트라에틸헥사노에이트,6,6,1.0
알로에베라잎즙,6,6,1.0
바오밥나무씨오일,6,6,1.0
다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트,6,6,1.0
글라이코스핑고리피드,6,6,1.0
니코틴아마이드모노뉴클레오타이드,6,6,1.0
메틸다이아이소프로필프로피온아마이드,6,6,1.0
하이드롤라이즈드디엔에이,6,6,1.0
폴리글리세릴-3다이아이소스테아레이트,6,6,1.0
포타슘클로라이드,6,6,1.0
세라마이드에이에스,6,6,1.0
칼슘클로라이드,6,6,1.0
한련초추출물,6,6,1.0
포타슘세틸포스페이트,6,6,1.0
접시꽃추출물,6,6,1.0
편백잎추출물,6,6,1.0
칸디다 봄비콜라/글루코오스/메틸레이프씨데이트발효물,6,6,1.0
다이메티콘올,6,6,1.0
소듐헤파린,6,6,1.0
다마스크장미꽃추출물,6,6,1.0
폴스애플민트잎추출물,6,6,1.0
라우릴글루코사이드,6,6,1.0
티트리추출물,6,6,1.0
도둑놈의지팡이뿌리추출물,6,6,1.0
티타늄디옥사이드,6,6,1.0
식물성스쿠알란,6,6,1.0
미리스틸글루코사이드,6,6,1.0
녹차수,6,6,1.0
비스-피이지-18메틸에터다이메틸실레인,6,6,1.0
캐모마일꽃오일,6,6,1.0
C12-20알킬글루코사이드,6,6,1.0
카르노신,6,6,1.0
카프릴릴메티콘,6,6,1.0
비파나무잎추출물,6,6,1.0
별꽃추출물,6,6,1.0
소듐하이알루로네이트다이메틸실란올,6,6,1.0
니코틴아마이드아데닌다이뉴클레오타이드,6,6,1.0
칡뿌리추출물,6,6,1.0
리놀레익애씨드,6,6,1.0
피토스테릴/베헤닐/옥틸도데실라우로일글루타메이트,6,6,1.0
노나펩타이드-1,6,6,1.0
작약뿌리추출물,6,6,1.0
아라키딜알코올,6,6,1.0
클레리오일,6,6,1.0
포스파티딜콜린,6,6,1.0
이눌린라우릴카바메이트,5,5,1.0
다이펩타이드-2,5,5,1.0
커피콩추출물,5,5,1.0
다이메티콘/비닐다이메티콘크로스폴리머,5,5,1.0
효모/보리씨발효여과물,5,5,1.0
로우스위트블루베리추출물,5,5,1.0
하이드롤라이즈드해면,5,5,1.0
코코-카프릴레이트/카프레이트,5,5,1.0
로즈힙열매추출물,5,5,1.0
티아민에이치씨엘,5,5,1.0
효모/감자추출물발효여과물,5,5,1.0
고삼뿌리추출물,5,5,1.0
유비퀴논,5,5,1.0
스피어민트추출물,5,5,1.0
폴리글리세릴-4카프레이트,5,5,1.0
달맞이꽃꽃추출물,5,5,1.0
퀸즈랜드넛오일,5,5,1.0
팔미토일트라이펩타이드-8,5,5,1.0
우레아,5,5,1.0
데이지꽃추출물,5,5,1.0
피이지-100스테아레이트,5,5,1.0
하이드로제네이티드폴리,5,5,1.0
불가리스쑥오일,5,5,1.0
광곽향오일,5,5,1.0
폴리글리세릴-10미리스테이트,5,5,1.0
수크로오스다이스테아레이트,5,5,1.0
글리세릴올리에이트,5,5,1.0
다이부틸아디페이트,5,5,1.0
산양삼추출물,5,5,1.0
아세틸테트라펩타이드-3,5,5,1.0
다이카프릴릴카보네이트,5,5,1.0
녹차씨오일,5,5,1.0
폴리글루쿠로닉애씨드,5,5,1.0
락토코쿠스발효용해물,5,5,1.0
에스에이치-데카펩타이드-7,5,5,1.0
에스에이치-옥타펩타이드-4,5,5,1.0
사과씨추출물,5,5,1.0
오일팜오일,5,5,1.0
에스에이치-올리고펩타이드-9,5,5,1.0
에스에이치-펜타펩타이드-19,5,5,1.0
헥실데칸올,5,5,1.0
아모다이메티콘,5,5,1.0
레몬밤잎추출물,5,5,1.0
석류추출물,5,5,1.0
솔비탄세스퀴올리에이트,5,5,1.0
적색산화철,5,5,1.0
낫토검,5,5,1.0
카르니틴,5,5,1.0
버지니아풍년화추출물,5,5,1.0
타우린,5,5,1.0
올리고펩타이드-1,5,5,1.0
마그네슘아스코빌포스페이트,5,5,1.0
옥수수전분,5,5,1.0
감나무잎추출물,5,5,1.0
베타인살리실레이트,5,5,1.0
아라비아고무나무검,5,5,1.0
로즈마리잎수,5,5,1.0
레몬밤꽃/잎/줄기수,5,5,1.0
아스코빌팔미테이트,5,5,1.0
트라이소듐에틸렌다이아민다이석시네이트,5,5,1.0
베타-시토스테롤,5,5,1.0
양파추출물,5,5,1.0
에칠아스코빌에텔,5,5,1.0
소듐다이라우미도글루타미드라이신,5,5,1.0
흰목이버섯추출물,5,5,1.0
셀룰로오스,5,5,1.0
구아이아줄렌,5,5,1.0
하이드록시피나콜론레티노에이트,5,5,1.0
지황뿌리추출물,4,4,1.0
비피다발효여과물,4,4,1.0
비타민나무수,4,4,1.0
유칼립투스잎오일,4,4,1.0
베르가모트잎추출물,4,4,1.0
라즈베리케톤,4,4,1.0
글리세릴스테아레이트에스이,4,4,1.0
소나무잎추출물,4,4,1.0
카라기난,4,4,1.0
알로에베라잎추출물,4,4,1.0
폴릭애씨드,4,4,1.0
비니거,4,4,1.0
소엽맥문동뿌리추출물,4,4,1.0
포도추출물,4,4,1.0
리놀레닉애씨드,4,4,1.0
아크릴레이트/암모늄메타크릴레이트코폴리머,4,4,1.0
감초뿌리추출물,4,4,1.0
포도씨오일,4,4,1.0
캐모마일꽃추출물,4,4,1.0
효모발효추출물,4,4,1.0
하이드록시프로필비스팔미타마이드엠이에이,4,4,1.0
발삼아미리스껍질오일,4,4,1.0
육계나무껍질추출물,4,4,1.0
소듐트라이메타포스페이트,4,4,1.0
하이드록시데실유비퀴논,4,4,1.0
사이클로덱스트린,4,4,1.0
솔비탄스테아레이트,4,4,1.0
피리독신,4,4,1.0
잇꽃씨오일,4,4,1.0
레몬껍질오일,4,4,1.0
메나다이온,4,4,1.0
레티닐팔미테이트,4,4,1.0
하이드롤라이즈드식물성단백질,4,4,1.0
서양송악잎/줄기추출물,4,4,1.0
하이드롤라이즈드익스텐신,4,4,1.0
연꽃뿌리추출물,4,4,1.0
수용성프로테오글리칸,4,4,1.0
바실러스발효물,4,4,1.0
피씨에이,4,4,1.0
t-부틸알코올,4,4,1.0
라우릭애씨드,4,4,1.0
소듐메타바이설파이트,4,4,1.0
사과세포배양추출물,4,4,1.0
에스에이치-폴리펩타이드-121,4,4,1.0
피브이피,4,4,1.0
티트리잎수,4,4,1.0
아세틸글루타민,4,4,1.0
트립토판,4,4,1.0
헵타소듐헥사카복시메틸다이펩타이드-12,4,4,1.0
아세틸테트라펩타이드-2,4,4,1.0
소듐메틸스테아로일타우레이트,4,4,1.0
마그네슘설페이트,4,4,1.0
글루코실루틴,4,4,1.0
더덕뿌리추출물,4,4,1.0
하이드록시페닐프로파미도벤조익애씨드,4,4,1.0
붉은토끼풀꽃추출물,4,4,1.0
에스에이치-올리고펩타이드-2,4,4,1.0
에스에이치-폴리펩타이드-3,4,4,1.0
프룩탄,4,4,1.0
폴리글리세릴-3다이스테아레이트,4,4,1.0
에스에이치-폴리펩타이드-22,4,4,1.0
아데노신트라이포스페이트,4,4,1.0
토마토추출물,4,4,1.0
대왕소나무잎추출물,4,4,1.0
카라멜,4,4,1.0
헥실렌글라이콜,4,4,1.0
인디안구스베리열매추출물,4,4,1.0
페네틸알코올,4,4,1.0
스타아니스추출물,4,4,1.0
아세틸테트라펩타이드-5,4,4,1.0
알진,4,4,1.0
검은뽕나무열매추출물,4,4,1.0
트록세루틴,4,4,1.0
멜라토닌,4,4,1.0
글루타민,4,4,1.0
아스파라진,4,4,1.0
트라이아이소스테아린,3,3,1.0
케이프알로에잎추출물,3,3,1.0
병풀뿌리추출물,3,3,1.0
