ingredients,Total_Count,로션,미스트/오일,스킨/토너,에센스/세럼/앰플,크림
효모추출물,3,0,0,0,3,0
올리고펩타이드-3,3,1,0,0,2,0
미나리추출물,3,0,0,0,3,0
트라이아이소스테아린,3,0,0,0,3,0
클로헥시딘디글루코네이트,3,0,0,0,3,0
니코티노일다이펩타이드-23,3,0,0,0,3,0
헤스페리딘메틸칼콘,3,0,0,0,3,0
약모밀수,3,0,0,3,0,0
락토바실러스/인삼뿌리발효여과물,3,1,1,0,1,0
트로폴론,3,1,0,0,1,1
바추잎잎추출물,3,0,0,1,1,1
다이펜타에리스리틸헥사C5-9애씨드에스터,3,0,0,0,2,1
쌀겨왁스,3,0,0,0,0,3
카퍼설페이트,3,0,0,0,1,2
아세틸올리고펩타이드-99아마이드,3,0,1,0,1,1
글루코실헤스페리딘,3,0,0,0,0,3
유자추출물,3,0,1,0,1,1
디메치콘,3,1,1,0,1,0
알에이치-폴리펩타이드-1,3,0,0,0,1,2
알파-글루칸올리고사카라이드,3,0,1,0,0,2
녹두싹추출물,3,0,0,1,0,2
하이드록시프로필메틸셀룰로오스,3,0,0,1,1,1
메틸카프로오일타이로지네이트,3,1,0,0,0,2
징크설페이트,3,0,1,0,0,2
시스틴,3,0,0,0,1,2
쿠티박테리움 그라눌로숨발효추출여과물,3,0,0,1,1,1
팔미토일테트라펩타이드-10,3,0,0,0,2,1
스테아릴헵타노에이트,3,2,0,0,1,0
피토스테릴/옥틸도데실라우로일글루타메이트,3,0,0,2,0,1
향부자추출물,3,0,0,0,2,1
야생딸기잎추출물,3,0,0,0,0,3
카카오씨버터,3,0,0,0,0,3
바위손추출물,3,0,0,0,3,0
사철쑥추출물,3,0,0,2,0,1
원추리꽃추출물,3,0,1,0,2,0
은행추출물,3,0,1,0,2,0
락토바실러스/고추냉이뿌리발효추출물,3,0,1,1,1,0
폴리우레탄-15,3,0,0,0,3,0
알테로모나스발효추출물,3,0,0,1,2,0
헤스페리딘,3,0,0,0,3,0
세라마이드3,3,1,0,0,2,0
쌀겨오일,3,0,0,0,2,1
질경이추출물,3,0,0,1,2,0
에스에이치-폴리펩타이드-19,3,0,0,0,2,1
메틸다이하이드로자스모네이트,3,0,0,0,3,0
에틸렌브라실레이트,3,0,0,0,3,0
2-t-부틸사이클로헥실아세테이트,3,0,0,0,3,0
리날릴아세테이트,3,0,0,0,3,0
에틸리날룰,3,0,0,0,3,0
브로멜라인,3,0,0,0,2,1
메틸렌다이옥시페닐메틸프로판알,3,0,0,0,3,0
헥세닐아세테이트,3,0,0,0,3,0
아르니카 몬타나꽃추출물,3,0,1,0,1,1
자이언트켈프추출물,3,0,0,0,1,2
"2,4-다이메틸-3-사이클로헥신카복스알데하이드",3,0,0,0,3,0
3-헥센올,3,0,0,0,3,0
대추추출물,3,0,0,0,3,0
락토바실러스/호밀가루발효물,3,0,1,1,1,0
유칼립톨,3,0,0,0,3,0
시금치추출물,3,0,1,1,1,0
레몬밤추출물,3,0,2,0,1,0
에이치디아이/트라이메틸올헥실락톤크로스폴리머,3,2,0,0,0,1
하이드록시메톡시페닐데칸온,3,0,1,0,2,0
연꽃추출물,3,0,1,0,2,0
바실러스/소이빈발효추출물,3,1,0,1,0,1
삽주뿌리줄기추출물,3,0,0,0,3,0
복사나무꽃추출물,3,0,0,0,3,0
쇠뜨기추출물,3,0,1,0,2,0
카퍼글루코네이트,3,0,0,1,2,0
일랑일랑꽃오일,3,0,0,0,3,0
스핑고리피드,3,1,0,0,1,1
겔리듐 카르틸라기네움추출물,3,0,1,0,2,0
결명씨추출물,3,0,1,1,1,0
효모/포도발효추출물,3,0,1,1,1,0
팥추출물,3,0,1,0,2,0
양배추추출물,3,0,1,1,1,0
트라이펩타이드-10시트룰린,3,0,0,0,3,0
락토바실러스/배즙발효여과물,3,0,1,1,1,0
락토바실러스/부레옥잠발효물,3,0,1,1,1,0
모나스커스/쌀발효물,3,0,1,1,1,0
효모/자일리눔/홍차발효물,3,0,1,0,2,0
창포뿌리추출물,3,0,1,0,2,0
벤조트라이아졸릴도데실p-크레솔,2,0,0,0,2,0
녹두추출물,2,0,0,1,0,1
커먼자스민추출물,2,0,1,0,0,1
10-하이드록시데카노익애씨드,2,0,0,2,0,0
C12-15알킬벤조에이트,2,0,0,0,0,2
베어베리잎추출물,2,0,0,0,0,2
코코넛오일,2,1,0,0,0,1
하이드록시신나믹애씨드,2,0,0,0,0,2
퀴노아씨추출물,2,0,0,1,0,1
셀필룸추출물,2,0,0,0,0,2
락토바실러스/호박발효추출물,2,0,0,2,0,0
마트리카리아꽃오일,2,0,0,0,0,2
아이소머라이즈드리놀레익애씨드,2,0,0,0,0,2
블랙체리열매추출물,2,0,0,0,1,1
유럽개암씨오일,2,0,2,0,0,0
데실렌글라이콜,2,0,0,0,0,2
오렌지꽃오일,2,0,0,0,1,1
브로콜리싹추출물,2,1,0,0,0,1
병풀캘러스세포외소포,2,0,0,0,1,1
말굽잔나비버섯추출물,2,0,0,1,0,1
세틸에칠헥사노에이트,2,1,1,0,0,0
"	
하이드로제네이티드폴리(C6-14올레핀)",2,0,0,2,0,0
아스퍼질러스발효물,2,0,0,2,0,0
작약꽃추출물,2,0,0,0,0,2
하이드롤라이즈드쌀단백질,2,1,0,1,0,0
마조람잎추출물,2,0,1,0,0,1
흑미추출물,2,1,0,1,0,0
황색산화철,2,0,0,0,1,1
아세로라추출물,2,0,0,0,1,1
조류추출물,2,1,0,0,1,0
하이드롤라이즈드스위트아몬드단백질,2,1,0,1,0,0
니아울리나무잎오일,2,0,0,0,1,1
사이클로펜타실록산,2,0,1,0,0,1
오레가노추출물,2,0,1,0,1,0
코질카복시다이펩타이드-23,2,0,0,0,2,0
"	
에난티아 클로란타껍질추출물",2,0,0,0,0,2
조름나물잎추출물,2,0,0,0,0,2
카페오일트라이펩타이드-1,2,0,0,0,2,0
카페오일에스에이치-옥타펩타이드-4,2,0,0,0,2,0
갈로일펜타펩타이드-33,2,0,0,0,2,0
옥타펩타이드-7,2,0,0,0,2,0
에스에이치-데카펩타이드-9,2,0,0,0,2,0
포도주추출물,2,0,0,0,2,0
소듐아크릴레이트크로스폴리머-2,2,0,0,0,2,0
팔미토일다이펩타이드-5다이아미노부틸로일하이드록시트레오닌,2,0,0,0,2,0
효모/띠뿌리발효추출물,2,0,0,0,2,0
효모/겨우살이발효추출물,2,0,0,0,2,0
하이드롤라이즈드밀단백질,2,0,0,1,1,0
세라마이드이엔피,2,0,0,0,2,0
세라마이드1,2,0,0,0,2,0
파파인,2,0,0,2,0,0
펜타펩타이드-18,2,0,0,0,2,0
서양측백나무잎추출물,2,0,0,0,0,2
유차나무씨오일,2,0,2,0,0,0
붉나무충영추출물,2,0,0,0,2,0
쌀겨추출물,2,0,0,2,0,0
C30-45알킬세테아릴다이메티콘크로스폴리머,2,0,0,0,0,2
페퍼민트꽃/잎/줄기추출물,2,0,1,0,1,0
풍선덩굴꽃/잎/덩굴추출물,2,1,0,0,0,1
청각추출물,2,0,0,1,1,0
맥주효모추출물,2,2,0,0,0,0
에스에이치-폴리펩타이드-4,2,0,0,0,0,2
아이브라이트추출물,2,0,0,0,0,2
자몽추출물,2,0,0,0,0,2
에스에이치-폴리펩타이드-14,2,0,0,0,0,2
다이스테아다이모늄헥토라이트,2,0,0,0,0,2
해마토코쿠스 플루비알리스오일,2,0,0,0,2,0
소르비탄올리베이트,2,0,0,0,1,1
컴프리잎추출물,2,0,0,0,0,2
타임오일,2,0,0,1,0,1
포도덩굴추출물,2,0,0,0,1,1
몰약수지추출물,2,0,0,0,1,1
효모발효용해여과물,2,0,0,0,1,1
밤부사 불가리스잎추출물,2,0,0,0,0,2
테트라아세틸피토스핑고신,2,0,0,0,1,1
마트리카리아꽃수,2,0,0,0,2,0
락토바실러스/홍삼발효여과물,2,0,1,1,0,0
다시마즙,2,0,0,0,1,1
소듐설파이트,2,0,0,0,1,1
쉐어버터,2,1,0,0,0,1
하이드롤라이즈드완두콩단백질,2,0,0,0,0,2
감자꽃추출물,2,1,0,1,0,0
C30-45알킬다이메티콘,2,0,0,0,1,1
토코트라이엔올,2,0,1,0,0,1
암모늄아크릴로일다이메틸타우레이트/베헤네스-25메타크라일레이트크로스폴리머,2,0,0,0,0,2
레몬그라스추출물,2,0,1,1,0,0
체이스트트리추출물,2,0,0,1,0,1
검정콩추출물,2,1,0,0,0,1
알지닌글루타메이트,2,0,0,0,0,2
모하비유카뿌리추출물,2,0,0,0,1,1
디프로필렌글라이콜,2,0,2,0,0,0
하이드로제네이티드에틸헥실올리베이트,2,0,0,0,0,2
제인,2,0,0,0,1,1
실란트라이올,2,0,0,0,1,1
알로에베라잎폴리사카라이드,2,0,0,0,1,1
천궁뿌리추출물,2,1,0,0,1,0
펜타펩타이드-4,2,0,0,0,1,1
알지닌에이치씨엘,2,0,0,0,0,2
요엽후박나무껍질추출물,2,0,0,0,1,1
윈터체리뿌리추출물,2,0,0,0,1,1
알에이치-올리고펩타이드-2,2,0,0,0,0,2
후추열매오일,2,1,0,0,1,0
커먼자스민꽃수,2,0,0,1,0,1
장미추출물,2,0,0,0,1,1
알로에베라잎수,2,0,0,1,0,1
양버들껍질/싹/잎/잔가지추출물,2,0,0,0,0,2
징크하이드롤라이즈드하이알루로네이트,2,0,0,0,1,1
폴리글리세릴-6베헤네이트,2,0,0,0,0,2
포도즙추출물,2,1,1,0,0,0
하이드롤라이즈드감자단백질,2,1,0,1,0,0
하이알루로닉애씨드/폴리아이소프로필아크릴아마이드코폴리머,2,0,0,0,1,1
글라이콜팔미테이트,2,0,0,0,0,2
다이소듐아데노신트라이포스페이트,2,0,0,0,1,1
마시멜로잎추출물,2,0,2,0,0,0
큰노랑용담뿌리추출물,2,0,0,0,0,2
락토바실러스/호박열매발효여과물,2,0,0,0,1,1
토탄추출물,2,0,0,0,0,2
"소듐디엔에이,병풀잎수",2,0,0,2,0,0
인카르나타시계꽃전초추출물,2,0,2,0,0,0
포트마리골드꽃오일,2,0,0,0,0,2
회향잎추출물,2,0,2,0,0,0
루이보스추출물,2,0,0,0,1,1
로즈우드오일,2,0,0,1,0,1
폴리아크릴아마이드,2,0,0,0,0,2
복령균핵추출물,2,0,0,0,1,1
비터아몬드커넬오일,2,0,0,1,0,1
피키아발효추출여과물,2,0,0,0,1,1
씨솔트,2,0,0,1,0,1
레몬추출물,2,1,0,0,1,0
돌콩스테롤,2,0,0,0,0,2
에틸셀룰로오스,2,0,0,0,0,2
초유,2,0,0,0,1,1
아이소스테아릴알코올,2,0,0,0,0,2
프로콜라겐,2,0,1,0,1,0
마그네슘시트레이트,2,0,0,1,0,1
1-메틸하이단토인-2-이미드,2,0,0,1,0,1
밤부사 불가리스추출물,2,1,0,1,0,0
토코페릴글루코사이드,2,0,0,0,0,2
헵틸운데실레네이트,2,0,0,0,0,2
비터오렌지꽃오일,2,0,0,0,0,2
무수자일리톨,2,0,0,0,2,0
산뽕나무잎추출물,2,0,1,0,1,0
이리추출물,2,0,0,0,1,1
금,2,0,0,0,2,0
스테아릴글리시레티네이트,2,0,0,0,2,0
겨우살이열매추출물,2,0,0,0,0,2
아나토씨오일,2,0,2,0,0,0
참깨오일,2,0,0,0,1,1
카페오일헥사펩타이드-65,2,0,0,0,2,0
바실러스/폴릭애씨드/돌콩발효추출물,2,0,0,0,2,0
프리지어추출물,2,0,2,0,0,0
에델바이스추출물,2,0,2,0,0,0
에스에이치-폴리펩타이드-123,2,0,0,0,2,0
오일팜커넬오일,2,0,0,0,0,2
노티드랙추출물,2,0,0,0,1,1
가르시니아열매추출물,2,0,0,0,1,1
알에이치-올리고펩타이드-1,2,0,0,0,1,1
라이코펜,2,0,0,0,2,0
폴리데센,2,0,0,0,0,2
스노우로투스추출물,2,0,2,0,0,0
토마토즙,2,0,0,0,2,0
레몬그라스잎오일,2,0,1,0,1,0
올리고펩타이드-32,2,0,0,0,2,0
왕질경이씨추출물,2,0,1,0,1,0
포트마리골드추출물,2,0,0,0,2,0
노나펩타이드-7,2,0,0,0,2,0
연교추출물,2,0,0,0,2,0
글라이코젠,2,0,0,0,0,2
마돈나백합꽃추출물,2,0,2,0,0,0
소듐아크릴레이트/비닐알코올코폴리머,2,0,0,0,2,0
바다포도추출물,2,0,0,0,1,1
더위지기추출물,2,0,0,0,2,0
냉초추출물,2,0,0,0,2,0
뽕나무뿌리추출물,2,1,0,0,1,0
리세릴스테아레이트시트레이트,2,0,0,0,0,2
복숭아수,2,0,0,0,2,0
토마토열매/잎/줄기추출물,2,0,0,0,2,0
피브로넥틴,2,0,0,0,2,0
테트라펩타이드-30,2,0,0,0,2,0
칼슘락테이트,2,0,2,0,0,0
해바라기씨왁스,2,0,0,0,0,2
폴리쿼터늄-7,2,0,0,0,2,0
베티버뿌리오일,2,0,0,0,2,0
서인도체리열매추출물,2,0,0,0,2,0
라우로일라이신,2,0,0,0,2,0
발삼코파이바수지,2,0,0,0,1,1
피리독신에이치씨엘,2,0,0,1,1,0
포타슘코코일글리시네이트,2,0,0,0,2,0
다이하이드로미리세틴,2,0,0,0,2,0
마누카잎추출물,2,0,0,0,2,0
염소유추출물,2,0,0,0,2,0
카나우바왁스,2,0,0,0,0,2
하이드롤라이즈드알진,2,0,0,0,2,0
실크추출물,2,0,0,0,2,0
글라이콜다이스테아레이트,2,0,0,0,2,0
메틸하이드로제네이티드로지네이트,2,1,0,0,0,1
실리카실릴레이트,2,0,0,0,1,1
페루기네움철쭉추출물,2,0,0,0,1,1
락토바실러스,2,0,0,0,1,1
화산재,2,0,0,0,1,1
복숭아씨추출물,2,0,0,0,2,0
락토바실러스세포외소포,2,0,0,0,1,1
얼룩파인애플추출물,2,1,0,0,0,1
피이지-5레이프씨드스테롤,2,0,0,0,1,1
효모용해추출물,2,1,0,0,0,1
사철쑥꽃추출물,2,2,0,0,0,0
엘더꽃추출물,2,0,0,0,1,1
왜당귀뿌리추출물,2,0,0,0,2,0
"비스-에톡시다이글라이콜사이클로헥산1,4-다이카복실레이트",2,0,0,0,2,0
망고추출물,2,1,0,1,0,0
팔미토일펜타펩타이드-5,2,0,0,0,2,0
에델바이스꽃/잎추출물,2,0,0,0,1,1
올리고펩타이드-29,2,0,0,0,2,0
유채씨오일,2,0,1,0,0,1
암모늄아크릴로일다이메틸타우레이트/스테아레스-25크로스폴리머,2,0,0,0,2,0
알-소폴리펩타이드-1,2,0,0,0,0,2
마그네슘글루코네이트,2,0,0,0,2,0
데카펩타이드-4,2,0,0,0,1,1
세라마이드2,2,0,0,0,2,0
쐐기풀잎추출물,2,0,0,0,0,2
기장추출물,2,0,1,0,1,0
바질잎추출물,2,0,1,0,1,0
수박추출물,2,0,1,0,1,0
에난티아 클로란타껍질추출물,2,0,0,0,2,0
무추출물,2,0,1,0,1,0
인체줄기세포배양액,2,0,0,0,0,2
단풍나무잎추출물,2,0,1,0,1,0
개다래추출물,2,0,1,0,1,0
으름덩굴추출물,2,0,1,0,1,0
마늘추출물,2,0,1,0,1,0
소듐글리세로포스페이트,2,0,0,0,2,0
마트리카리아추출물,2,0,0,0,2,0
순무잎추출물,2,0,1,0,1,0
호두추출물,2,0,0,0,2,0
테트라펩타이드-44,2,0,0,0,2,0
스키산드라 스페난테라열매추출물,2,1,0,0,1,0
소듐폴리글루타메이트,2,0,0,0,1,1
에틸헥실올리베이트,2,0,0,0,0,2
둥굴레뿌리줄기추출물,2,0,0,0,2,0
레이디스맨틀추출물,2,0,1,0,0,1
히스티딘에이치씨엘,2,0,0,0,1,1
다이-C12-13알킬말레이트,2,0,1,0,0,1
육두구커넬오일,2,0,0,1,1,0
올리고펩타이드-68,2,0,0,0,2,0
운데케인,2,0,0,0,2,0
트라이데케인,2,0,0,0,2,0
아사이팜열매추출물,2,0,0,1,1,0
빌베리열매추출물,2,0,0,0,2,0
3-아스코빌카보닐다이펩타이드-17,2,0,0,0,0,2
쇠뜨기잎추출물,2,0,0,0,0,2
바실러스/폴릭애씨드발효여과추출물,2,0,0,0,0,2
아세틸펜타펩타이드-1,2,0,0,0,2,0
피키아발효용해여과물,2,0,0,1,1,0
자두추출물,2,0,1,0,1,0
유럽밤나무씨추출물,2,0,1,0,1,0
살구추출물,2,0,1,0,1,0
폴리락틱애씨드,2,0,0,0,2,0
완두콩펩타이드,2,0,0,0,2,0
락토바실러스/콩추출물발효여과물,2,0,0,1,1,0
형개추출물,2,0,1,0,1,0
모과추출물,2,0,1,0,1,0
니코티노일트라이펩타이드-35,2,0,0,0,2,0
니코티노일다이펩타이드-26,2,0,0,0,2,0
옥타펩타이드-2,2,0,0,0,2,0
펜타펩타이드-13,2,0,0,0,2,0
팔미토일트라이펩타이드-29,2,0,0,0,2,0
얼룩조릿대잎추출물,2,0,1,0,1,0
미리스토일헥사펩타이드-16,2,0,0,0,2,0
연꽃잎추출물,2,1,0,0,1,0
아스코빌프로필하이알루로네이트,2,0,0,0,0,2
쿠네아타산사열매추출물,2,0,1,0,1,0
락토코쿠스발효물,2,0,0,1,1,0
긴병꽃풀추출물,2,0,1,0,1,0
잎새버섯자실체추출물,2,0,1,0,1,0
해바라기씨추출물,2,0,1,0,1,0
고구마뿌리추출물,2,0,1,0,1,0
표고버섯추출물,2,0,1,0,1,0
허브로버트추출물,2,0,1,0,1,0
하이드록시프롤린,2,0,0,0,2,0
글리세린-3크로스폴리머,2,0,0,0,2,0
실론시나몬나무껍질추출물,2,0,0,0,0,2
메도우스위트추출물,2,0,0,1,1,0
카프릴로일에스에이치-노나펩타이드-6,2,0,0,0,0,2
메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀,1,1,0,0,0,0
보리추출물,1,1,0,0,0,0
오이추출물,1,1,0,0,0,0
호장근추출물,1,1,0,0,0,0
암모늄아크릴로일디메칠타우레이트/브이피코폴리머,1,1,0,0,0,0
알바프리지어추출물,1,0,0,0,0,1
황색5호,1,1,0,0,0,0
소듐폴리아스파테이트,1,0,0,0,0,1
블루플래그아이리스추출물,1,0,0,0,0,1
나팔수선화추출물,1,0,0,0,0,1
다이머다이리놀레일다이머다이리놀리에이트,1,0,0,0,0,1
펜타에리스리틸테트라스테아레이트,1,0,0,0,0,1
해바라기씨드케이크,1,1,0,0,0,0
만주자작나무껍질추출물,1,0,0,0,0,1
테르무스 테르모필루스발효물,1,0,0,0,0,1
피이지-크로스폴리머,1,0,0,0,0,1
프로필렌글라이콜디카프레이트,1,1,0,0,0,0
라우레스-23,1,1,0,0,0,0
완두콩추출물,1,0,0,0,0,1
피이지-240/에이치디아이코폴리머비스-데실테트라데세스-20에터,1,0,0,0,0,1
크리신,1,0,0,0,0,1
병풀오일,1,0,0,0,0,1
N-하이드록시석신이미드,1,0,0,0,0,1
카프로일메틸세리네이트,1,0,0,0,0,1
디에칠아미노하이드록시벤조일헥실벤조에이트,1,1,0,0,0,0
드로메트리졸트리실록산,1,1,0,0,0,0
폴리글리세릴-2아이소스테아레이트/다이머다이리놀리에이트코폴리머,1,0,0,0,0,1
다이라우릴티오다이프로피오네이트,1,0,0,0,0,1
향기제비꽃잎추출물,1,0,0,0,0,1
하이드로제네이티드올리브오일데실에스터,1,0,0,0,0,1
물망초꽃/잎/줄기추출물,1,0,0,0,1,0
마조람잎오일,1,0,0,0,1,0
하이드로제네이티드유채씨오일,1,0,0,0,0,1
고수추출물,1,0,0,0,1,0
바질오일,1,0,0,0,1,0
카프 릴릭/카프릭트라이글리세라이드,1,0,0,0,1,0
아세틸피토스핑고신,1,0,0,0,1,0
카우슬립꽃추출물,1,0,0,0,1,0
스피드웰꽃/잎/줄기추출물,1,0,0,0,1,0
서양톱풀꽃/잎/줄기추출물,1,0,0,0,1,0
레이디스맨틀꽃/잎/줄기추출물,1,0,0,0,1,0
후박나무가지추출물,1,0,0,0,1,0
당아욱꽃/잎/줄기추출물,1,0,0,0,1,0
클로렐라 프로토테코이데스추출물,1,0,0,0,1,0
인디고추출물,1,0,0,0,1,0
원지뿌리추출물,1,1,0,0,0,0
화이트티트리잎추출물,1,1,0,0,0,0
사이클로메치콘,1,1,0,0,0,0
꽈리꽃받침추출물,1,0,0,0,1,0
월귤잎추출물,1,0,0,0,1,0
타히티바닐라추출물,1,0,0,0,1,0
보스웰리아수지추출물,1,0,0,0,0,1
헥사펩타이드-35,1,0,0,0,0,1
버드나무껍질추출물,1,1,0,0,0,0
바질추출물,1,1,0,0,0,0
푸른연꽃수,1,1,0,0,0,0
율무씨추출물,1,1,0,0,0,0
로켓잎추출물,1,1,0,0,0,0
어성초,1,0,0,0,0,1
병풀단백질추출물,1,0,0,0,0,1
이소도데칸,1,1,0,0,0,0
