subcategory,product_name,brand,price_krw,volume,rank,rating,review_count,url
,[only화해] 다이브인 저분자 히알루론산 세럼 100ml 기획 (+수딩크림 50ml),토리든,26900,100ml,스킨케어 - 수집 1위,4.6,1,https://www.hwahae.co.kr/goods/%ED%86%A0%EB%A6%AC%EB%93%A0-only%ED%99%94%ED%95%B4-%EB%8B%A4%EC%9D%B4%EB%B8%8C%EC%9D%B8-%EC%A0%80%EB%B6%84%EC%9E%90-%ED%9E%88%EC%95%8C%EB%A3%A8%EB%A1%A0%EC%82%B0-%EC%84%B8%EB%9F%BC-100ml-%EA%B8%B0%ED%9A%8D-PLUS%EC%88%98%EB%94%A9%ED%81%AC%EB%A6%BC-50ml/54413?goods_tab=review_ingredients
,리얼 히알루로닉 블루 100 앰플 (100ml),웰라쥬,22400,100ml,스킨케어 - 수집 2위,4.63,9,https://www.hwahae.co.kr/goods/%EC%9B%B0%EB%9D%BC%EC%A5%AC-%EB%A6%AC%EC%96%BC-%ED%9E%88%EC%95%8C%EB%A3%A8%EB%A1%9C%EB%8B%89-%EB%B8%94%EB%A3%A8-100-%EC%95%B0%ED%94%8C-100ml/23532?goods_tab=review_ingredients
,아토베리어365 크림 80ml x 3,에스트라,79200,80ml,스킨케어 - 수집 3위,4.67,9,https://www.hwahae.co.kr/goods/%EC%97%90%EC%8A%A4%ED%8A%B8%EB%9D%BC-%EC%95%84%ED%86%A0%EB%B2%A0%EB%A6%AC%EC%96%B4365-%ED%81%AC%EB%A6%BC-80ml-x-3/70740?goods_tab=review_ingredients
,[only화해] 피디알엔 캡슐 100 세럼 50ml 대용량 기획(+크림 10ml),아누아,23500,50ml,스킨케어 - 수집 4위,4.61,1,https://www.hwahae.co.kr/goods/%EC%95%84%EB%88%84%EC%95%84-only%ED%99%94%ED%95%B4-%ED%94%BC%EB%94%94%EC%95%8C%EC%97%94-%EC%BA%A1%EC%8A%90-100-%EC%84%B8%EB%9F%BC-50ml-%EB%8C%80%EC%9A%A9%EB%9F%89-%EA%B8%B0%ED%9A%8D-PLUS%ED%81%AC%EB%A6%BC-10ml/69360?goods_tab=review_ingredients
스킨케어,녹두 약산성 클렌징폼 80ml,비플레인,11250,80ml,스킨케어 - 수집 5위,4.62,9,https://www.hwahae.co.kr/goods/%EB%B9%84%ED%94%8C%EB%A0%88%EC%9D%B8-%EB%85%B9%EB%91%90-%EC%95%BD%EC%82%B0%EC%84%B1-%ED%81%B4%EB%A0%8C%EC%A7%95%ED%8F%BC-80ml/6403?goods_tab=review_ingredients
,쿨(티트리) 일회용 모델링 컵팩 28g (6개),린제이,15000,28g,스킨케어 - 수집 6위,4.74,9,https://www.hwahae.co.kr/goods/%EB%A6%B0%EC%A0%9C%EC%9D%B4-%EC%BF%A8-%ED%8B%B0%ED%8A%B8%EB%A6%AC-%EC%9D%BC%ED%9A%8C%EC%9A%A9-%EB%AA%A8%EB%8D%B8%EB%A7%81-%EC%BB%B5%ED%8C%A9-28g-6%EA%B0%9C/66749?goods_tab=review_ingredients
,[only화해] 아쿠아 오아시스 토너 300ml 더블 기획 (+화장솜),에스네이처,19700,300ml,스킨케어 - 수집 7위,4.73,1,https://www.hwahae.co.kr/goods/%EC%97%90%EC%8A%A4%EB%84%A4%EC%9D%B4%EC%B2%98-only%ED%99%94%ED%95%B4-%EC%95%84%EC%BF%A0%EC%95%84-%EC%98%A4%EC%95%84%EC%8B%9C%EC%8A%A4-%ED%86%A0%EB%84%88-300ml-%EB%8D%94%EB%B8%94-%EA%B8%B0%ED%9A%8D-PLUS%ED%99%94%EC%9E%A5%EC%86%9C/26143?goods_tab=review_ingredients
에센스양많은,마데카소사이드 에센셜 마스크 흔적 리페어 10매+10매,메디힐,19900,,스킨케어 - 수집 8위,4.74,38,https://www.hwahae.co.kr/goods/%EB%A9%94%EB%94%94%ED%9E%90-%EB%A7%88%EB%8D%B0%EC%B9%B4%EC%86%8C%EC%82%AC%EC%9D%B4%EB%93%9C-%EC%97%90%EC%84%BC%EC%85%9C-%EB%A7%88%EC%8A%A4%ED%81%AC-%ED%9D%94%EC%A0%81-%EB%A6%AC%ED%8E%98%EC%96%B4-10%EB%A7%A4PLUS10%EB%A7%A4/64587?goods_tab=review_ingredients
,[only화해] 리얼 히알루로닉 블루100앰플 160ml기획(본품100ml+리필60ml),웰라쥬,32400,160ml,스킨케어 - 수집 9위,4.72,9,https://www.hwahae.co.kr/goods/%EC%9B%B0%EB%9D%BC%EC%A5%AC-only%ED%99%94%ED%95%B4-%EB%A6%AC%EC%96%BC-%ED%9E%88%EC%95%8C%EB%A3%A8%EB%A1%9C%EB%8B%89-%EB%B8%94%EB%A3%A8100%EC%95%B0%ED%94%8C-160ml%EA%B8%B0%ED%9A%8D-%EB%B3%B8%ED%92%88100mlPLUS%EB%A6%AC%ED%95%8460ml/74253?goods_tab=review_ingredients
,[only화해] 다이브인 저분자 히알루론산 토너 300ml 더블기획(+수딩크림 20 ml),토리든,19900,300ml,스킨케어 - 수집 10위,4.69,9,https://www.hwahae.co.kr/goods/%ED%86%A0%EB%A6%AC%EB%93%A0-only%ED%99%94%ED%95%B4-%EB%8B%A4%EC%9D%B4%EB%B8%8C%EC%9D%B8-%EC%A0%80%EB%B6%84%EC%9E%90-%ED%9E%88%EC%95%8C%EB%A3%A8%EB%A1%A0%EC%82%B0-%ED%86%A0%EB%84%88-300ml-%EB%8D%94%EB%B8%94%EA%B8%B0%ED%9A%8D-PLUS%EC%88%98%EB%94%A9%ED%81%AC%EB%A6%BC-20-ml/69574?goods_tab=review_ingredients
,[only화해] 아쿠아 스쿠알란 수분크림 80ml 더블+세럼 10ml 세트,에스네이처,29500,80ml,스킨케어 - 수집 11위,4.57,9,https://www.hwahae.co.kr/goods/%EC%97%90%EC%8A%A4%EB%84%A4%EC%9D%B4%EC%B2%98-only%ED%99%94%ED%95%B4-%EC%95%84%EC%BF%A0%EC%95%84-%EC%8A%A4%EC%BF%A0%EC%95%8C%EB%9E%80-%EC%88%98%EB%B6%84%ED%81%AC%EB%A6%BC-80ml-%EB%8D%94%EB%B8%94PLUS%EC%84%B8%EB%9F%BC-10ml-%EC%84%B8%ED%8A%B8/45194?goods_tab=review_ingredients
,[only화해] 다이브인 저분자 히알루론산 수딩크림100ml기획(+토너50ml+마스크1매),토리든,15500,100ml,스킨케어 - 수집 12위,4.67,9,https://www.hwahae.co.kr/goods/%ED%86%A0%EB%A6%AC%EB%93%A0-only%ED%99%94%ED%95%B4-%EB%8B%A4%EC%9D%B4%EB%B8%8C%EC%9D%B8-%EC%A0%80%EB%B6%84%EC%9E%90-%ED%9E%88%EC%95%8C%EB%A3%A8%EB%A1%A0%EC%82%B0-%EC%88%98%EB%94%A9%ED%81%AC%EB%A6%BC100ml%EA%B8%B0%ED%9A%8D-PLUS%ED%86%A0%EB%84%8850mlPLUS%EB%A7%88%EC%8A%A4%ED%81%AC1%EB%A7%A4/69344?goods_tab=review_ingredients
,다시마 앰플 클렌징폼 120ml(1+1)l+클렌징폼 15ml 2개,션리,25000,120ml,스킨케어 - 수집 13위,4.56,9,https://www.hwahae.co.kr/goods/%EC%85%98%EB%A6%AC-%EB%8B%A4%EC%8B%9C%EB%A7%88-%EC%95%B0%ED%94%8C-%ED%81%B4%EB%A0%8C%EC%A7%95%ED%8F%BC-120ml-1PLUS1-lPLUS%ED%81%B4%EB%A0%8C%EC%A7%95%ED%8F%BC-15ml-2%EA%B0%9C/68165?goods_tab=review_ingredients
,[only화해] 녹두 모공 타이트업 수딩 크림 60ml+20ml 기획 (+녹두폼 20ml),비플레인,16300,60ml,스킨케어 - 수집 14위,4.59,1,https://www.hwahae.co.kr/goods/%EB%B9%84%ED%94%8C%EB%A0%88%EC%9D%B8-only%ED%99%94%ED%95%B4-%EB%85%B9%EB%91%90-%EB%AA%A8%EA%B3%B5-%ED%83%80%EC%9D%B4%ED%8A%B8%EC%97%85-%EC%88%98%EB%94%A9-%ED%81%AC%EB%A6%BC-60mlPLUS20ml-%EA%B8%B0%ED%9A%8D-PLUS%EB%85%B9%EB%91%90%ED%8F%BC-20ml/68900?goods_tab=review_ingredients
,1025 독도 토너 500ml,라운드랩,27000,500ml,스킨케어 - 수집 15위,4.43,2,https://www.hwahae.co.kr/goods/%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9-1025-%EB%8F%85%EB%8F%84-%ED%86%A0%EB%84%88-500ml/34633?goods_tab=review_ingredients
,스킨 베리어 호호바 오일 30ML,결하우스,19500,30ml,스킨케어 - 수집 16위,4.64,9,https://www.hwahae.co.kr/goods/%EA%B2%B0%ED%95%98%EC%9A%B0%EC%8A%A4-%EC%8A%A4%ED%82%A8-%EB%B2%A0%EB%A6%AC%EC%96%B4-%ED%98%B8%ED%98%B8%EB%B0%94-%EC%98%A4%EC%9D%BC-30ML/66025?goods_tab=review_ingredients
,원더 세라마이드 모찌 토너 500ml,토니모리,13600,500ml,스킨케어 - 수집 17위,4.49,1,https://www.hwahae.co.kr/goods/%ED%86%A0%EB%8B%88%EB%AA%A8%EB%A6%AC-%EC%9B%90%EB%8D%94-%EC%84%B8%EB%9D%BC%EB%A7%88%EC%9D%B4%EB%93%9C-%EB%AA%A8%EC%B0%8C-%ED%86%A0%EB%84%88-500ml/27380?goods_tab=review_ingredients
,[only화해] 피디알엔 히알루론산캡슐 100 크림 기획(60ml+10ml+마스크팩 2매),아누아,14500,60ml,스킨케어 - 수집 18위,4.65,1,https://www.hwahae.co.kr/goods/%EC%95%84%EB%88%84%EC%95%84-only%ED%99%94%ED%95%B4-%ED%94%BC%EB%94%94%EC%95%8C%EC%97%94-%ED%9E%88%EC%95%8C%EB%A3%A8%EB%A1%A0%EC%82%B0%EC%BA%A1%EC%8A%90-100-%ED%81%AC%EB%A6%BC-%EA%B8%B0%ED%9A%8D-60mlPLUS10mlPLUS%EB%A7%88%EC%8A%A4%ED%81%AC%ED%8C%A9-2%EB%A7%A4/70767?goods_tab=review_ingredients
,[only화해] 녹두 클렌징 오일 200ml+100ml 기획 (+녹두폼 20ml),비플레인,23400,200ml,스킨케어 - 수집 19위,4.65,1,https://www.hwahae.co.kr/goods/%EB%B9%84%ED%94%8C%EB%A0%88%EC%9D%B8-only%ED%99%94%ED%95%B4-%EB%85%B9%EB%91%90-%ED%81%B4%EB%A0%8C%EC%A7%95-%EC%98%A4%EC%9D%BC-200mlPLUS100ml-%EA%B8%B0%ED%9A%8D-PLUS%EB%85%B9%EB%91%90%ED%8F%BC-20ml/68713?goods_tab=review_ingredients
